Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 54.36it/s]
{"stage": "qwen_human", "completed": 650, "tokens": 201, "seconds": 10.277508952999938}
{"stage": "qwen_human", "completed": 651, "tokens": 209, "seconds": 9.883687911000038}
{"stage": "qwen_human", "completed": 652, "tokens": 170, "seconds": 7.947570491000079}
{"stage": "qwen_human", "completed": 653, "tokens": 211, "seconds": 9.779580947}
{"stage": "qwen_human", "completed": 654, "tokens": 196, "seconds": 9.060284141000011}
{"stage": "qwen_human", "completed": 655, "tokens": 204, "seconds": 9.42752315100006}
{"stage": "qwen_human", "completed": 656, "tokens": 204, "seconds": 9.628147894999984}
{"stage": "qwen_human", "completed": 657, "tokens": 201, "seconds": 9.504290432000062}
{"stage": "qwen_human", "completed": 658, "tokens": 211, "seconds": 10.012685181000052}
{"stage": "qwen_human", "completed": 659, "tokens": 167, "seconds": 7.8796964790000175}
{"stage": "qwen_human", "completed": 660, "tokens": 206, "seconds": 9.645542471999988}
{"stage": "qwen_human", "completed": 661, "tokens": 205, "seconds": 9.52850268599991}
{"stage": "qwen_human", "completed": 662, "tokens": 163, "seconds": 7.60247718200003}
{"stage": "qwen_human", "completed": 663, "tokens": 170, "seconds": 8.019963757999903}
{"stage": "qwen_human", "completed": 664, "tokens": 169, "seconds": 7.994067622999978}
{"stage": "qwen_human", "completed": 665, "tokens": 203, "seconds": 9.460644775999981}
{"stage": "qwen_human", "completed": 666, "tokens": 237, "seconds": 11.125485821999973}
{"stage": "qwen_human", "completed": 667, "tokens": 172, "seconds": 8.022552753000014}
{"stage": "qwen_human", "completed": 668, "tokens": 169, "seconds": 7.878361807000033}
{"stage": "qwen_human", "completed": 669, "tokens": 207, "seconds": 9.674242443000026}
{"stage": "qwen_human", "completed": 670, "tokens": 244, "seconds": 11.529059404999998}
{"stage": "qwen_human", "completed": 671, "tokens": 169, "seconds": 8.019100539000078}
{"stage": "qwen_human", "completed": 672, "tokens": 207, "seconds": 9.688273521000042}
{"stage": "qwen_human", "completed": 673, "tokens": 168, "seconds": 7.846402989000012}
{"stage": "qwen_human", "completed": 674, "tokens": 206, "seconds": 9.568203564999976}
{"stage": "qwen_human", "completed": 675, "tokens": 232, "seconds": 10.76612408599999}
{"stage": "qwen_human", "completed": 676, "tokens": 166, "seconds": 7.761811485999942}
{"stage": "qwen_human", "completed": 677, "tokens": 195, "seconds": 9.082769799000062}
{"stage": "qwen_human", "completed": 678, "tokens": 194, "seconds": 9.036134948999916}
{"stage": "qwen_human", "completed": 679, "tokens": 169, "seconds": 7.927038934999928}
{"stage": "qwen_human", "completed": 680, "tokens": 238, "seconds": 11.255409777999944}
{"stage": "qwen_human", "completed": 681, "tokens": 206, "seconds": 9.734279636999986}
{"stage": "qwen_human", "completed": 682, "tokens": 164, "seconds": 7.82618788000002}
{"stage": "qwen_human", "completed": 683, "tokens": 207, "seconds": 9.685086781999985}
{"stage": "qwen_human", "completed": 684, "tokens": 204, "seconds": 9.557374327000048}
{"stage": "qwen_human", "completed": 685, "tokens": 205, "seconds": 9.607885398999997}
{"stage": "qwen_human", "completed": 686, "tokens": 203, "seconds": 9.406964478000077}
{"stage": "qwen_human", "completed": 687, "tokens": 236, "seconds": 10.930824928999982}
{"stage": "qwen_human", "completed": 688, "tokens": 194, "seconds": 8.985317890000033}
{"stage": "qwen_human", "completed": 689, "tokens": 207, "seconds": 9.609144110999978}
{"stage": "qwen_human", "completed": 690, "tokens": 170, "seconds": 7.916005669000015}
{"stage": "qwen_human", "completed": 691, "tokens": 196, "seconds": 9.106347540000002}
{"stage": "qwen_human", "completed": 692, "tokens": 168, "seconds": 7.798697587999982}
{"stage": "qwen_human", "completed": 693, "tokens": 208, "seconds": 9.698938417000022}
{"stage": "qwen_human", "completed": 694, "tokens": 208, "seconds": 9.65648438400001}
{"stage": "qwen_human", "completed": 695, "tokens": 200, "seconds": 9.305299541999943}
{"stage": "qwen_human", "completed": 696, "tokens": 206, "seconds": 9.585874662999913}
{"stage": "qwen_human", "completed": 697, "tokens": 204, "seconds": 9.588311090000161}
{"stage": "qwen_human", "completed": 698, "tokens": 167, "seconds": 7.943344917999866}
{"stage": "qwen_human", "completed": 699, "tokens": 209, "seconds": 9.781285544999946}
{"stage": "qwen_human", "completed": 700, "tokens": 197, "seconds": 9.199889425000038}
{"stage": "qwen_human", "completed": 701, "tokens": 167, "seconds": 7.876623506999977}
{"stage": "qwen_human", "completed": 702, "tokens": 172, "seconds": 7.981726609000134}
{"stage": "qwen_human", "completed": 703, "tokens": 240, "seconds": 11.108480454999835}
{"stage": "qwen_human", "completed": 704, "tokens": 170, "seconds": 7.927589356000226}
{"stage": "qwen_human", "completed": 705, "tokens": 225, "seconds": 10.47339810099993}
{"stage": "qwen_human", "completed": 706, "tokens": 209, "seconds": 9.757240194999895}
