Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 55.55it/s]
{"stage": "revised_s41031_agent_a", "completed": 237, "tokens": 208, "seconds": 9.937454242000001}
{"stage": "revised_s41031_agent_a", "completed": 238, "tokens": 198, "seconds": 8.873000476999948}
{"stage": "revised_s41031_agent_a", "completed": 239, "tokens": 207, "seconds": 9.307263884000008}
{"stage": "revised_s41031_agent_a", "completed": 240, "tokens": 207, "seconds": 9.291058883000005}
{"stage": "revised_s41031_agent_a", "completed": 241, "tokens": 241, "seconds": 10.826467455}
{"stage": "revised_s41031_agent_a", "completed": 242, "tokens": 197, "seconds": 8.847109359999934}
{"stage": "revised_s41031_agent_a", "completed": 243, "tokens": 210, "seconds": 9.423534453000002}
{"stage": "revised_s41031_agent_a", "completed": 244, "tokens": 169, "seconds": 7.587006379999934}
{"stage": "revised_s41031_agent_a", "completed": 245, "tokens": 205, "seconds": 9.19675802300003}
{"stage": "revised_s41031_agent_a", "completed": 246, "tokens": 198, "seconds": 8.895052673999999}
{"stage": "revised_s41031_agent_a", "completed": 247, "tokens": 166, "seconds": 7.459412430000043}
{"stage": "revised_s41031_agent_a", "completed": 248, "tokens": 197, "seconds": 8.805169130999957}
{"stage": "revised_s41031_agent_a", "completed": 249, "tokens": 198, "seconds": 8.902403871999923}
{"stage": "revised_s41031_agent_a", "completed": 250, "tokens": 205, "seconds": 9.200945305999994}
{"stage": "revised_s41031_agent_a", "completed": 251, "tokens": 235, "seconds": 10.567831197000032}
{"stage": "revised_s41031_agent_a", "completed": 252, "tokens": 234, "seconds": 10.593030601999999}
{"stage": "revised_s41031_agent_a", "completed": 253, "tokens": 170, "seconds": 7.625319335999961}
{"stage": "revised_s41031_agent_a", "completed": 254, "tokens": 168, "seconds": 7.512588095999945}
{"stage": "revised_s41031_agent_a", "completed": 255, "tokens": 168, "seconds": 7.5203387400000565}
{"stage": "revised_s41031_agent_a", "completed": 256, "tokens": 197, "seconds": 8.822456960999943}
{"stage": "revised_s41031_agent_a", "completed": 257, "tokens": 167, "seconds": 7.489382596999917}
{"stage": "revised_s41031_agent_a", "completed": 258, "tokens": 172, "seconds": 7.710714560999918}
{"stage": "revised_s41031_agent_a", "completed": 259, "tokens": 194, "seconds": 8.702752415999953}
{"stage": "revised_s41031_agent_a", "completed": 260, "tokens": 206, "seconds": 9.223186411000029}
{"stage": "revised_s41031_agent_a", "completed": 261, "tokens": 235, "seconds": 10.524558412000033}
{"stage": "revised_s41031_agent_a", "completed": 262, "tokens": 238, "seconds": 10.63853381499996}
{"stage": "revised_s41031_agent_a", "completed": 263, "tokens": 196, "seconds": 8.78610508700001}
{"stage": "revised_s41031_agent_a", "completed": 264, "tokens": 168, "seconds": 7.525642659000027}
{"stage": "revised_s41031_agent_a", "completed": 265, "tokens": 170, "seconds": 7.638959628000066}
{"stage": "revised_s41031_agent_a", "completed": 266, "tokens": 166, "seconds": 7.4386763229999815}
{"stage": "revised_s41031_agent_a", "completed": 267, "tokens": 237, "seconds": 10.62143749500001}
{"stage": "revised_s41031_agent_a", "completed": 268, "tokens": 198, "seconds": 8.980849257000045}
{"stage": "revised_s41031_agent_a", "completed": 269, "tokens": 204, "seconds": 9.086815073000025}
{"stage": "revised_s41031_agent_a", "completed": 270, "tokens": 237, "seconds": 10.603685337999991}
{"stage": "revised_s41031_agent_a", "completed": 271, "tokens": 199, "seconds": 8.914827094999964}
{"stage": "revised_s41031_agent_a", "completed": 272, "tokens": 168, "seconds": 7.509817616999953}
{"stage": "revised_s41031_agent_a", "completed": 273, "tokens": 238, "seconds": 10.658047363000037}
{"stage": "revised_s41031_agent_a", "completed": 274, "tokens": 195, "seconds": 8.735460676999992}
{"stage": "revised_s41031_agent_a", "completed": 275, "tokens": 233, "seconds": 10.422023918000036}
{"stage": "revised_s41031_agent_a", "completed": 276, "tokens": 195, "seconds": 8.734309715999984}
{"stage": "revised_s41031_agent_a", "completed": 277, "tokens": 205, "seconds": 9.192050872999971}
{"stage": "revised_s41031_agent_a", "completed": 278, "tokens": 208, "seconds": 9.351219947999994}
{"stage": "revised_s41031_agent_a", "completed": 279, "tokens": 198, "seconds": 8.879995114999929}
{"stage": "revised_s41031_agent_a", "completed": 280, "tokens": 196, "seconds": 8.77648461900003}
{"stage": "revised_s41031_agent_a", "completed": 281, "tokens": 196, "seconds": 8.783605557999977}
{"stage": "revised_s41031_agent_a", "completed": 282, "tokens": 235, "seconds": 10.54760451200002}
{"stage": "revised_s41031_agent_a", "completed": 283, "tokens": 170, "seconds": 7.632896464000055}
{"stage": "revised_s41031_agent_a", "completed": 284, "tokens": 168, "seconds": 7.66633420200003}
{"stage": "revised_s41031_agent_a", "completed": 285, "tokens": 204, "seconds": 9.136867775000042}
{"stage": "revised_s41031_agent_a", "completed": 286, "tokens": 197, "seconds": 8.820992512999965}
{"stage": "revised_s41031_agent_a", "completed": 287, "tokens": 198, "seconds": 8.932495496000001}
{"stage": "revised_s41031_agent_a", "completed": 288, "tokens": 169, "seconds": 7.6060833159999675}
{"stage": "revised_s41031_agent_a", "completed": 289, "tokens": 234, "seconds": 10.51200957900005}
{"stage": "revised_s41031_agent_a", "completed": 290, "tokens": 170, "seconds": 7.643543250999983}
{"stage": "revised_s41031_agent_a", "completed": 291, "tokens": 240, "seconds": 10.781368605000011}
{"stage": "revised_s41031_agent_a", "completed": 292, "tokens": 169, "seconds": 7.592234566999991}
{"stage": "revised_s41031_agent_a", "completed": 293, "tokens": 166, "seconds": 7.5032596429999785}
{"stage": "revised_s41031_agent_a", "completed": 294, "tokens": 198, "seconds": 8.909487899000055}
{"stage": "revised_s41031_agent_a", "completed": 295, "tokens": 204, "seconds": 9.17393658399999}
{"stage": "revised_s41031_agent_a", "completed": 296, "tokens": 169, "seconds": 7.6226975839999795}
{"stage": "revised_s41031_agent_a", "completed": 297, "tokens": 167, "seconds": 7.52874061}
{"stage": "revised_s41031_agent_a", "completed": 298, "tokens": 168, "seconds": 7.5894697259999475}
{"stage": "revised_s41031_agent_a", "completed": 299, "tokens": 197, "seconds": 8.905380253999965}
