Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 56.94it/s]
{"stage": "qwen_agent_a", "completed": 88, "tokens": 206, "seconds": 9.763386483999966}
{"stage": "qwen_agent_a", "completed": 89, "tokens": 205, "seconds": 8.980179648999979}
{"stage": "qwen_agent_a", "completed": 90, "tokens": 208, "seconds": 9.092132007999965}
{"stage": "qwen_agent_a", "completed": 91, "tokens": 207, "seconds": 8.980330272999993}
{"stage": "qwen_agent_a", "completed": 92, "tokens": 241, "seconds": 10.41069054999997}
{"stage": "qwen_agent_a", "completed": 93, "tokens": 169, "seconds": 7.374815495000007}
{"stage": "qwen_agent_a", "completed": 94, "tokens": 164, "seconds": 7.1129705970000145}
{"stage": "qwen_agent_a", "completed": 95, "tokens": 208, "seconds": 9.047878364000042}
{"stage": "qwen_agent_a", "completed": 96, "tokens": 209, "seconds": 9.089110747000007}
{"stage": "qwen_agent_a", "completed": 97, "tokens": 208, "seconds": 9.057261949000008}
{"stage": "qwen_agent_a", "completed": 98, "tokens": 271, "seconds": 11.769742235999956}
{"stage": "qwen_agent_a", "completed": 99, "tokens": 155, "seconds": 6.770135583999945}
{"stage": "qwen_agent_a", "completed": 100, "tokens": 234, "seconds": 10.198605813000029}
{"stage": "qwen_agent_a", "completed": 101, "tokens": 236, "seconds": 10.276191457000039}
{"stage": "qwen_agent_a", "completed": 102, "tokens": 166, "seconds": 7.237097978000008}
{"stage": "qwen_agent_a", "completed": 103, "tokens": 168, "seconds": 7.436017008999954}
{"stage": "qwen_agent_a", "completed": 104, "tokens": 169, "seconds": 7.367200801000024}
{"stage": "qwen_agent_a", "completed": 105, "tokens": 169, "seconds": 7.362271359999966}
{"stage": "qwen_agent_a", "completed": 106, "tokens": 169, "seconds": 7.372097551000024}
{"stage": "qwen_agent_a", "completed": 107, "tokens": 237, "seconds": 10.294705036999972}
{"stage": "qwen_agent_a", "completed": 108, "tokens": 169, "seconds": 7.3651595790000215}
{"stage": "qwen_agent_a", "completed": 109, "tokens": 208, "seconds": 9.041823609999994}
{"stage": "qwen_agent_a", "completed": 110, "tokens": 235, "seconds": 10.191095495000013}
{"stage": "qwen_agent_a", "completed": 111, "tokens": 235, "seconds": 10.21440013099999}
{"stage": "qwen_agent_a", "completed": 112, "tokens": 169, "seconds": 7.3826345300000185}
{"stage": "qwen_agent_a", "completed": 113, "tokens": 209, "seconds": 9.101942108000003}
{"stage": "qwen_agent_a", "completed": 114, "tokens": 207, "seconds": 9.01753311799996}
{"stage": "qwen_agent_a", "completed": 115, "tokens": 167, "seconds": 7.2850866419998965}
