Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 56.67it/s]
{"stage": "prepared_agent_a", "completed": 299, "tokens": 202, "seconds": 9.961536711999997}
{"stage": "prepared_agent_a", "completed": 300, "tokens": 235, "seconds": 10.845027791999996}
{"stage": "prepared_agent_a", "completed": 301, "tokens": 198, "seconds": 9.152626227000042}
{"stage": "prepared_agent_a", "completed": 302, "tokens": 209, "seconds": 9.663689976}
{"stage": "prepared_agent_a", "completed": 303, "tokens": 208, "seconds": 9.814871573000005}
{"stage": "prepared_agent_a", "completed": 304, "tokens": 241, "seconds": 11.396080576000031}
{"stage": "prepared_agent_a", "completed": 305, "tokens": 170, "seconds": 7.93408985100001}
{"stage": "prepared_agent_a", "completed": 306, "tokens": 169, "seconds": 7.883601096000007}
{"stage": "prepared_agent_a", "completed": 307, "tokens": 208, "seconds": 9.709771603000036}
{"stage": "prepared_agent_a", "completed": 308, "tokens": 209, "seconds": 9.750211019999995}
{"stage": "prepared_agent_a", "completed": 309, "tokens": 195, "seconds": 9.21214218}
{"stage": "prepared_agent_a", "completed": 310, "tokens": 166, "seconds": 7.876334348}
{"stage": "prepared_agent_a", "completed": 311, "tokens": 169, "seconds": 7.887719599000036}
{"stage": "prepared_agent_a", "completed": 312, "tokens": 168, "seconds": 7.846038091000025}
{"stage": "prepared_agent_a", "completed": 313, "tokens": 211, "seconds": 9.861898064000002}
{"stage": "prepared_agent_a", "completed": 314, "tokens": 240, "seconds": 11.317707106}
{"stage": "prepared_agent_a", "completed": 315, "tokens": 170, "seconds": 7.916363723000018}
{"stage": "prepared_agent_a", "completed": 316, "tokens": 201, "seconds": 9.386239181000008}
{"stage": "prepared_agent_a", "completed": 317, "tokens": 170, "seconds": 7.92931367999995}
{"stage": "prepared_agent_a", "completed": 318, "tokens": 129, "seconds": 6.036252091000051}
{"stage": "prepared_agent_a", "completed": 319, "tokens": 169, "seconds": 7.933875496999917}
{"stage": "prepared_agent_a", "completed": 320, "tokens": 195, "seconds": 9.106710083999928}
{"stage": "prepared_agent_a", "completed": 321, "tokens": 207, "seconds": 9.665326526000058}
{"stage": "prepared_agent_a", "completed": 322, "tokens": 206, "seconds": 9.61779753799999}
{"stage": "prepared_agent_a", "completed": 323, "tokens": 168, "seconds": 7.8533515480000915}
{"stage": "prepared_agent_a", "completed": 324, "tokens": 168, "seconds": 7.863678913000058}
{"stage": "prepared_agent_a", "completed": 325, "tokens": 207, "seconds": 9.669258368999976}
{"stage": "prepared_agent_a", "completed": 326, "tokens": 198, "seconds": 9.273471720999964}
{"stage": "prepared_agent_a", "completed": 327, "tokens": 168, "seconds": 7.847564837999926}
{"stage": "prepared_agent_a", "completed": 328, "tokens": 208, "seconds": 9.70261360699999}
{"stage": "prepared_agent_a", "completed": 329, "tokens": 168, "seconds": 7.87967538700002}
{"stage": "prepared_agent_a", "completed": 330, "tokens": 238, "seconds": 11.062470633999965}
{"stage": "prepared_agent_a", "completed": 331, "tokens": 194, "seconds": 9.351519105999955}
{"stage": "prepared_agent_a", "completed": 332, "tokens": 199, "seconds": 9.252241916999992}
{"stage": "prepared_agent_a", "completed": 333, "tokens": 201, "seconds": 9.335039139999935}
{"stage": "prepared_agent_a", "completed": 334, "tokens": 205, "seconds": 9.565715927000042}
{"stage": "prepared_agent_a", "completed": 335, "tokens": 202, "seconds": 9.394744118000062}
{"stage": "prepared_agent_a", "completed": 336, "tokens": 170, "seconds": 7.905823843999997}
{"stage": "prepared_agent_a", "completed": 337, "tokens": 170, "seconds": 7.901454647000037}
{"stage": "prepared_agent_a", "completed": 338, "tokens": 205, "seconds": 9.524814676999995}
{"stage": "prepared_agent_a", "completed": 339, "tokens": 207, "seconds": 9.611055134000026}
{"stage": "prepared_agent_a", "completed": 340, "tokens": 205, "seconds": 9.5257929469999}
{"stage": "prepared_agent_a", "completed": 341, "tokens": 236, "seconds": 10.958990405999998}
{"stage": "prepared_agent_a", "completed": 342, "tokens": 208, "seconds": 9.668954568000004}
{"stage": "prepared_agent_a", "completed": 343, "tokens": 206, "seconds": 9.577244813000107}
{"stage": "prepared_agent_a", "completed": 344, "tokens": 235, "seconds": 10.860677924000015}
{"stage": "prepared_agent_a", "completed": 345, "tokens": 168, "seconds": 7.774924204000058}
{"stage": "prepared_agent_a", "completed": 346, "tokens": 170, "seconds": 7.88239936399998}
{"stage": "prepared_agent_a", "completed": 347, "tokens": 237, "seconds": 11.079118838}
{"stage": "prepared_agent_a", "completed": 348, "tokens": 201, "seconds": 9.274891168000067}
